user_id,media_content,date_time,likes,comments,shares
"ObjectId(""6074802a5c305ba06066cd73"")",video1,5/4/2019,31,12,0
"ObjectId(""607481925c305ba06066cd76"")",image1,4/4/2021,101,23,2
"ObjectId(""607482005c305ba06066cd77"")",image2,1/14/2021,74,15,1
"ObjectId(""607482005c305ba06066cd77"")",video2,11/19/2020,81,16,1
"ObjectId(""6074811a5c305ba06066cd75"")",image3,1/31/2020,12,1,0
"ObjectId(""607482005c305ba06066cd77"")",image4,12/1/2019,64,8,0
"ObjectId(""6074808e5c305ba06066cd74"")",image5,3/29/2021,51,9,2
"ObjectId(""6074802a5c305ba06066cd73"")",video3,2/21/2020,20,4,1
"ObjectId(""6074811a5c305ba06066cd75"")",image6,8/18/2020,48,11,1
"ObjectId(""6074802a5c305ba06066cd73"")",video4,3/17/2021,17,5,0
"ObjectId(""607481925c305ba06066cd76"")",image7,7/3/2019,124,18,2
